InChIKey	InChI	Smiles
QAFBDRSXXHEXGB-UHFFFAOYSA-N	InChI=1S/C5H6N2O2/c8-5(9)3-7-2-1-6-4-7/h1-2,4H,3H2,(H,8,9)	c1cn(CC(=O)O)cn1
LDHMAVIPBRSVRG-UHFFFAOYSA-O	InChI=1S/C7H8N2O/c1-9-4-2-3-6(5-9)7(8)10/h2-5H,1H3,(H-,8,10)/p+1	C[n+]1cccc(c1)C(=N)O
MVOYJPOZRLFTCP-UHFFFAOYSA-N	InChI=1S/C6H6N4O2/c1-10-5(11)3-4(8-2-7-3)9-6(10)12/h2H,1H3,(H,7,8)(H,9,12)	Cn1c(=O)c2c([nH]cn2)nc1O
DBZAKQWXICEWNW-UHFFFAOYSA-N	InChI=1S/C6H6N2O/c1-5(9)6-4-7-2-3-8-6/h2-4H,1H3	CC(=O)c1cnccn1
RWZYAGGXGHYGMB-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c8-6-4-2-1-3-5(6)7(9)10/h1-4H,8H2,(H,9,10)	c1ccc(c(c1)C(=O)O)N
CDAWCLOXVUBKRW-UHFFFAOYSA-N	InChI=1S/C6H7NO/c7-5-3-1-2-4-6(5)8/h1-4,8H,7H2	c1ccc(c(c1)N)O
ASSKVPFEZFQQNQ-UHFFFAOYSA-N	InChI=1S/C7H5NO2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)	c1ccc2c(c1)nc(O)o2
RGHPCLZJAFCTIK-UHFFFAOYSA-N	InChI=1S/C5H11N/c1-5-3-2-4-6-5/h5-6H,2-4H2,1H3	CC1CCCN1
XUWHAWMETYGRKB-UHFFFAOYSA-N	InChI=1S/C5H9NO/c7-5-3-1-2-4-6-5/h1-4H2,(H,6,7)	C1CCN=C(C1)O
BPSNETAIJADFTO-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c9-7(10)5-6-3-1-2-4-8-6/h1-4H,5H2,(H,9,10)	c1ccnc(c1)CC(=O)O
GGOZGYRTNQBSSA-UHFFFAOYSA-N	InChI=1S/C5H5NO2/c7-4-2-1-3-6-5(4)8/h1-3,7H,(H,6,8)	c1cc(c(nc1)O)O
GMKMEZVLHJARHF-UHFFFAOYSA-N	InChI=1S/C7H14N2O4/c8-4(6(10)11)2-1-3-5(9)7(12)13/h4-5H,1-3,8-9H2,(H,10,11)(H,12,13)	C(CC(C(=O)O)N)CC(C(=O)O)N
WJXSWCUQABXPFS-UHFFFAOYSA-N	InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)	c1cc(c(c(c1)O)N)C(=O)O
VCKPUUFAIGNJHC-UHFFFAOYSA-N	InChI=1S/C10H12N2O4/c11-6(10(15)16)4-8(14)5-2-1-3-7(13)9(5)12/h1-3,6,13H,4,11-12H2,(H,15,16)	c1cc(C(=O)CC(C(=O)O)N)c(c(c1)O)N
GRFNBEZIAWKNCO-UHFFFAOYSA-N	InChI=1S/C5H5NO/c7-5-2-1-3-6-4-5/h1-4,7H	c1cc(cnc1)O
SEOVTRFCIGRIMH-UHFFFAOYSA-N	InChI=1S/C10H9NO2/c12-10(13)5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5H2,(H,12,13)	c1ccc2c(c1)c(CC(=O)O)c[nH]2
GMSNIKWWOQHZGF-UHFFFAOYSA-N	InChI=1S/C6H6N4O2/c1-10-4-3(7-2-8-4)5(11)9-6(10)12/h2H,1H3,(H,7,8)(H,9,11,12)	Cn1c2c(c(nc1=O)O)nc[nH]2
WGNUNYPERJMVRM-UHFFFAOYSA-N	InChI=1S/C7H7NO2/c9-7(10)4-6-2-1-3-8-5-6/h1-3,5H,4H2,(H,9,10)	c1cc(CC(=O)O)cnc1
BTCSSZJGUNDROE-UHFFFAOYSA-N	InChI=1S/C4H9NO2/c5-3-1-2-4(6)7/h1-3,5H2,(H,6,7)	C(CC(=O)O)CN
JHPNVNIEXXLNTR-UHFFFAOYSA-N	InChI=1S/C7H15NO2/c1-8(2,3)6-4-5-7(9)10/h4-6H2,1-3H3	C[N+](C)(C)CCCC(=O)[O-]
PLIKAWJENQZMHA-UHFFFAOYSA-N	InChI=1S/C6H7NO/c7-5-1-3-6(8)4-2-5/h1-4,8H,7H2	c1cc(ccc1N)O
WUBBRNOQWQTFEX-UHFFFAOYSA-N	InChI=1S/C7H7NO3/c8-4-1-2-5(7(10)11)6(9)3-4/h1-3,9H,8H2,(H,10,11)	c1cc(c(cc1N)O)C(=O)O
RXHVPPWXTMHWGY-UHFFFAOYSA-N	InChI=1S/C8H17NO2/c1-7(9(2,3)4)5-6-8(10)11/h7H,5-6H2,1-4H3	CC(CCC(=O)[O-])[N+](C)(C)C
TUHVEAJXIMEOSA-UHFFFAOYSA-N	InChI=1S/C5H11N3O2/c6-5(7)8-3-1-2-4(9)10/h1-3H2,(H,9,10)(H4,6,7,8)	C(CC(=O)O)CNC(=N)N
PMMYEEVYMWASQN-DMTCNVIQSA-N	InChI=1S/C5H9NO3/c7-3-1-4(5(8)9)6-2-3/h3-4,6-7H,1-2H2,(H,8,9)/t3-,4+/m1/s1	C1[C@H](CN[C@@H]1C(=O)O)O
